Value	Counts	Error	SimpleError
9.9908000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908015000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908030000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908045000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908060000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908075000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908090000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908105000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908120000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908135000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908150000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908165000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908180000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908195000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908210000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908225000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908240000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908255000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908270000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908285000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908300000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908315000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908330000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908345000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908360000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908375000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908390000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908405000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908420000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908435000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908450000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908465000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908480000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908495000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908510000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908525000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908540000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908555000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908570000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908585000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908600000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908615000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908630000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908645000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908660000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908675000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908690000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908705000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908720000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908735000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908750000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908765000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908780000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908795000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908810000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908825000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908840000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908855000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908870000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908885000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908900000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908915000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908930000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908945000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908960000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908975000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908990000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9909005000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9909020000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9909035000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9909050000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9909065000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9909080000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9909095000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9909110000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9909125000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9909140000e-01	3.8146972656e-06	3.8146972656e-06	3.8146972656e-06
9.9909155000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9909170000e-01	7.6293945312e-06	5.2118686757e-06	7.6293945312e-06
9.9909185000e-01	1.1444091797e-05	6.4587530005e-06	7.3045891400e-06
9.9909200000e-01	7.6293945312e-06	5.2118686757e-06	7.6293945312e-06
9.9909215000e-01	1.1444091797e-05	6.4587530005e-06	7.3045891400e-06
9.9909230000e-01	1.1444091797e-05	6.6072494796e-06	3.8146972656e-06
9.9909245000e-01	7.6293945312e-05	1.5573436373e-05	6.2293745493e-06
9.9909260000e-01	1.2588500977e-04	2.1375924265e-05	1.3029671689e-05
9.9909275000e-01	2.5939941406e-04	3.5649225283e-05	2.4126263887e-05
9.9909290000e-01	3.8528442383e-04	3.7776418836e-05	3.3762405516e-05
9.9909305000e-01	4.8446655273e-04	4.8901582141e-05	1.6917082082e-05
9.9909320000e-01	8.1253051758e-04	6.1863993607e-05	2.1913767420e-05
9.9909335000e-01	1.2702941895e-03	7.9987449403e-05	3.5987782028e-05
9.9909350000e-01	1.9454956055e-03	8.0199417273e-05	4.1555111283e-05
9.9909365000e-01	3.0250549316e-03	1.0242065526e-04	1.5097400401e-04
9.9909380000e-01	3.9634704590e-03	1.1530654743e-04	1.5849749627e-04
9.9909395000e-01	6.2217712402e-03	1.3837416687e-04	1.1475836911e-04
9.9909410000e-01	8.8195800781e-03	1.9508487630e-04	1.3316881777e-04
9.9909425000e-01	1.2195587158e-02	2.3744664767e-04	2.3277989963e-04
9.9909440000e-01	1.5384674072e-02	2.3341666766e-04	1.8888209418e-04
9.9909455000e-01	1.9973754883e-02	2.3105857826e-04	1.0005857123e-04
9.9909470000e-01	2.5417327881e-02	3.1695367460e-04	1.7457537377e-04
9.9909485000e-01	3.0838012695e-02	3.2364883180e-04	2.1097264762e-04
9.9909500000e-01	3.6987304688e-02	3.9028908273e-04	3.1934279688e-04
9.9909515000e-01	4.2572021484e-02	3.9563885233e-04	4.0815478134e-04
9.9909530000e-01	4.8362731934e-02	4.2727561122e-04	3.3882873236e-04
9.9909545000e-01	5.3375244141e-02	4.4018587200e-04	5.5713737363e-04
9.9909560000e-01	5.7807922363e-02	4.1553010129e-04	6.8671614672e-04
9.9909575000e-01	6.1130523682e-02	5.0722278227e-04	5.2693936508e-04
9.9909590000e-01	6.2858581543e-02	5.0385397941e-04	2.2602416625e-04
9.9909605000e-01	6.3453674316e-02	5.2950050102e-04	5.2465610495e-04
9.9909620000e-01	6.1264038086e-02	5.1186926463e-04	5.4474090661e-04
9.9909635000e-01	5.8006286621e-02	4.4416576313e-04	3.4236066732e-04
9.9909650000e-01	5.4904937744e-02	4.7388817926e-04	2.5920299499e-04
9.9909665000e-01	4.9564361572e-02	4.0319623763e-04	6.2085882653e-04
9.9909680000e-01	4.3540954590e-02	4.1762137684e-04	5.7696586794e-04
9.9909695000e-01	3.8284301758e-02	4.0090998252e-04	2.6887527751e-04
9.9909710000e-01	3.1688690186e-02	3.1604331349e-04	3.2556305055e-04
9.9909725000e-01	2.5936126709e-02	3.4307824364e-04	1.6579676675e-04
9.9909740000e-01	2.0812988281e-02	2.8764942202e-04	2.0500227116e-04
9.9909755000e-01	1.6014099121e-02	2.4908931335e-04	8.6653264554e-05
9.9909770000e-01	1.2111663818e-02	2.2841724291e-04	8.6176141738e-05
9.9909785000e-01	9.4184875488e-03	2.0877003225e-04	2.5634273645e-04
9.9909800000e-01	6.5422058105e-03	1.4722622999e-04	7.8641998780e-05
9.9909815000e-01	4.8980712891e-03	1.6117114757e-04	1.6551859635e-04
9.9909830000e-01	3.2196044922e-03	1.1063937405e-04	5.3223799480e-05
9.9909845000e-01	2.1934509277e-03	1.0377565898e-04	1.0147859549e-04
9.9909860000e-01	1.4343261719e-03	6.9674377788e-05	7.5269819066e-05
9.9909875000e-01	9.0789794922e-04	5.0473312678e-05	1.5881851192e-05
9.9909890000e-01	5.5313110352e-04	4.6917157951e-05	1.4442210759e-05
9.9909905000e-01	3.9672851562e-04	4.1694949406e-05	5.2857995836e-05
9.9909920000e-01	2.0980834961e-04	3.0975091241e-05	3.4892839391e-05
9.9909935000e-01	1.2207031250e-04	1.8688123648e-05	2.1579186438e-05
9.9909950000e-01	7.6293945312e-05	1.6657026056e-05	2.4126263887e-05
9.9909965000e-01	5.7220458984e-05	1.5666598339e-05	2.2781973352e-05
9.9909980000e-01	3.4332275391e-05	1.0562418445e-05	1.3029671689e-05
9.9909995000e-01	7.6293945312e-06	5.2118686757e-06	7.6293945312e-06
9.9910010000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910025000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910040000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910055000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910070000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910085000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910100000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910115000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910130000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910145000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910160000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910175000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910190000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910205000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910220000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910235000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910250000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910265000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910280000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910295000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910310000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910325000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910340000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910355000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910370000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910385000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910400000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910415000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910430000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910445000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910460000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910475000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910490000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910505000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910520000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910535000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910550000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910565000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910580000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910595000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910610000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910625000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910640000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910655000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910670000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910685000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910700000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910715000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910730000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910745000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910760000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910775000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910790000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910805000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910820000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910835000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910850000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910865000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910880000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910895000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910910000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910925000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910940000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910955000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910970000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9910985000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
